,simulation_time,real_time
0,0.1,1750876226.9315462
1,1.1,1750876227.9341743
2,2.1,1750876228.9386692
3,3.1,1750876229.9445755
4,4.1,1750876230.9483426
5,5.1,1750876231.9522245
6,6.1,1750876232.9563577
7,7.1,1750876233.9588096
8,8.1,1750876234.9669533
9,9.1,1750876235.9723332
10,10.1,1750876236.9753685
11,11.1,1750876237.978966
12,12.1,1750876238.9840758
13,13.1,1750876239.9870152
14,14.1,1750876240.991601
15,15.1,1750876241.9959764
16,16.1,1750876243.004139
17,17.1,1750876244.0078673
18,18.1,1750876245.0120068
19,19.1,1750876246.0153377
20,20.1,1750876247.022815
21,21.1,1750876248.0263107
22,22.1,1750876249.0292823
23,23.1,1750876250.0333493
24,24.1,1750876251.0392373
25,25.1,1750876252.0409265
26,26.1,1750876253.0434742
27,27.1,1750876254.0462422
28,28.1,1750876255.0515707
29,29.1,1750876256.0545712
30,30.1,1750876257.0585122
31,31.1,1750876258.060522
32,32.1,1750876259.0677514
33,33.1,1750876260.0710258
34,34.1,1750876261.0732303
35,35.1,1750876262.0769227
36,36.1,1750876263.0824513
37,37.1,1750876264.084444
38,38.1,1750876265.0879962
39,39.1,1750876266.0915382
40,40.1,1750876267.0972981
41,41.1,1750876268.1011822
42,42.1,1750876269.1052234
43,43.1,1750876270.107684
44,44.1,1750876271.119471
45,45.1,1750876272.1239939
46,46.1,1750876273.126888
47,47.1,1750876274.131056
48,48.1,1750876275.1353645
49,49.1,1750876276.1382318
50,50.1,1750876277.1421995
51,51.1,1750876278.1465027
52,52.1,1750876279.1501927
53,53.1,1750876280.153613
54,54.1,1750876281.1565077
55,55.1,1750876282.1602755
56,56.1,1750876283.1658437
57,57.1,1750876284.1700583
58,58.1,1750876285.173197
59,59.1,1750876286.1775346
